DEPARTAMENTO,MUNICIPIO,AÑO,Centros_5G_predicho,Antenas_5G_Predicho
AMAZONAS,LETICIA,2025,85,11
AMAZONAS,PUERTO NARIÑO,2025,57,7
AMAZONAS,TARAPACÁ,2025,3,0
ANTIOQUIA,ABEJORRAL,2025,18,2
ANTIOQUIA,ABRIAQUÍ,2025,7,1
ANTIOQUIA,ALEJANDRÍA,2025,11,1
ANTIOQUIA,AMAGÁ,2025,46,6
ANTIOQUIA,AMALFI,2025,15,2
ANTIOQUIA,ANDES,2025,38,5
ANTIOQUIA,ANGELÓPOLIS,2025,23,3
ANTIOQUIA,ANGOSTURA,2025,19,2
ANTIOQUIA,ANORÍ,2025,11,1
ANTIOQUIA,ANZA,2025,15,2
ANTIOQUIA,APARTADÓ,2025,50,6
ANTIOQUIA,ARBOLETES,2025,37,5
ANTIOQUIA,ARGELIA,2025,15,2
ANTIOQUIA,BARBOSA,2025,48,6
ANTIOQUIA,BELLO,2025,42,5
ANTIOQUIA,BELMIRA,2025,15,2
ANTIOQUIA,BETANIA,2025,15,2
ANTIOQUIA,BRICEÑO,2025,13,2
ANTIOQUIA,BURITICÁ,2025,15,2
ANTIOQUIA,CAICEDO,2025,11,1
ANTIOQUIA,CALDAS,2025,46,6
ANTIOQUIA,CAMPAMENTO,2025,15,2
ANTIOQUIA,CARACOLÍ,2025,15,2
ANTIOQUIA,CARAMANTA,2025,15,2
ANTIOQUIA,CAREPA,2025,46,6
ANTIOQUIA,CAROLINA,2025,15,2
ANTIOQUIA,CAUCASIA,2025,44,6
ANTIOQUIA,CAÑASGORDAS,2025,23,3
ANTIOQUIA,CHIGORODÓ,2025,35,4
ANTIOQUIA,CISNEROS,2025,15,2
ANTIOQUIA,CIUDAD BOLÍVAR,2025,31,4
ANTIOQUIA,COCORNÁ,2025,14,2
ANTIOQUIA,CONCEPCIÓN,2025,11,1
ANTIOQUIA,COPACABANA,2025,27,3
ANTIOQUIA,CÁCERES,2025,62,8
ANTIOQUIA,DABEIBA,2025,18,2
ANTIOQUIA,DONMATÍAS,2025,31,4
ANTIOQUIA,EBÉJICO,2025,18,2
ANTIOQUIA,EL BAGRE,2025,27,3
ANTIOQUIA,EL CARMEN DE VIBORAL,2025,19,2
ANTIOQUIA,EL SANTUARIO,2025,15,2
ANTIOQUIA,ENTRERRIOS,2025,15,2
ANTIOQUIA,ENVIGADO,2025,85,11
ANTIOQUIA,FREDONIA,2025,38,5
ANTIOQUIA,FRONTINO,2025,23,3
ANTIOQUIA,GIRALDO,2025,15,2
ANTIOQUIA,GIRARDOTA,2025,62,8
ANTIOQUIA,GUADALUPE,2025,10,1
ANTIOQUIA,GUARNE,2025,22,3
ANTIOQUIA,GUATAPE,2025,19,2
ANTIOQUIA,GÓMEZ PLATA,2025,23,3
ANTIOQUIA,HELICONIA,2025,19,2
ANTIOQUIA,HISPANIA,2025,14,2
ANTIOQUIA,ITAGUI,2025,31,4
ANTIOQUIA,ITUANGO,2025,31,4
ANTIOQUIA,JARDÍN,2025,22,3
ANTIOQUIA,LA CEJA,2025,31,4
ANTIOQUIA,LA ESTRELLA,2025,38,5
ANTIOQUIA,LA PINTADA,2025,19,2
ANTIOQUIA,LIBORINA,2025,38,5
ANTIOQUIA,MACEO,2025,19,2
ANTIOQUIA,MARINILLA,2025,15,2
ANTIOQUIA,MEDELLÍN,2025,113,14
ANTIOQUIA,MONTEBELLO,2025,15,2
ANTIOQUIA,MURINDÓ,2025,15,2
ANTIOQUIA,MUTATÁ,2025,15,2
ANTIOQUIA,NARIÑO,2025,14,2
ANTIOQUIA,NECHÍ,2025,31,4
ANTIOQUIA,NECOCLÍ,2025,54,7
ANTIOQUIA,OLAYA,2025,23,3
ANTIOQUIA,PEQUE,2025,11,1
ANTIOQUIA,PEÑOL,2025,15,2
ANTIOQUIA,PUEBLORRICO,2025,11,1
ANTIOQUIA,PUERTO BERRÍO,2025,45,6
ANTIOQUIA,PUERTO NARE,2025,50,6
ANTIOQUIA,PUERTO TRIUNFO,2025,31,4
ANTIOQUIA,REMEDIOS,2025,27,3
ANTIOQUIA,RETIRO,2025,27,3
ANTIOQUIA,RIONEGRO,2025,77,10
ANTIOQUIA,SABANETA,2025,46,6
ANTIOQUIA,SALGAR,2025,23,3
ANTIOQUIA,SAN ANDRÉS DE CUERQUÍA,2025,11,1
ANTIOQUIA,SAN JERÓNIMO,2025,19,2
ANTIOQUIA,SAN JOSÉ DE LA MONTAÑA,2025,11,1
ANTIOQUIA,SAN JUAN DE URABÁ,2025,31,4
ANTIOQUIA,SAN PEDRO DE LOS MILAGROS,2025,19,2
ANTIOQUIA,SAN PEDRO DE URABA,2025,23,3
ANTIOQUIA,SAN RAFAEL,2025,15,2
ANTIOQUIA,SAN ROQUE,2025,27,3
ANTIOQUIA,SAN VICENTE FERRER,2025,27,3
ANTIOQUIA,SANTA ROSA DE OSOS,2025,35,4
ANTIOQUIA,SANTAFÉ DE ANTIOQUIA,2025,42,5
ANTIOQUIA,SANTO DOMINGO,2025,35,4
ANTIOQUIA,SEGOVIA,2025,15,2
ANTIOQUIA,SONSON,2025,27,3
ANTIOQUIA,SOPETRÁN,2025,27,3
ANTIOQUIA,TARAZÁ,2025,31,4
ANTIOQUIA,TARSO,2025,23,3
ANTIOQUIA,TITIRIBÍ,2025,31,4
ANTIOQUIA,TOLEDO,2025,20,2
ANTIOQUIA,TURBO,2025,97,12
ANTIOQUIA,TÁMESIS,2025,19,2
ANTIOQUIA,URAMITA,2025,11,1
ANTIOQUIA,URRAO,2025,11,1
ANTIOQUIA,VALDIVIA,2025,31,4
ANTIOQUIA,VEGACHÍ,2025,18,2
ANTIOQUIA,VENECIA,2025,22,3
ANTIOQUIA,VIGÍA DEL FUERTE,2025,19,2
ANTIOQUIA,YALÍ,2025,19,2
ANTIOQUIA,YARUMAL,2025,50,6
ANTIOQUIA,YOLOMBÓ,2025,19,2
ANTIOQUIA,YONDÓ,2025,44,6
ANTIOQUIA,ZARAGOZA,2025,33,4
ARAUCA,ARAUCA,2025,23,3
ARAUCA,ARAUQUITA,2025,42,5
ARAUCA,CRAVO NORTE,2025,7,1
ARAUCA,FORTUL,2025,23,3
ARAUCA,PUERTO RONDÓN,2025,15,2
ARAUCA,SARAVENA,2025,27,3
ARAUCA,TAME,2025,31,4
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",SAN ANDRÉS,2025,35,4
ATLÁNTICO,BARANOA,2025,42,5
ATLÁNTICO,BARRANQUILLA,2025,15,2
ATLÁNTICO,CAMPO DE LA CRUZ,2025,19,2
ATLÁNTICO,GALAPA,2025,15,2
ATLÁNTICO,JUAN DE ACOSTA,2025,42,5
ATLÁNTICO,LURUACO,2025,50,6
ATLÁNTICO,MALAMBO,2025,31,4
ATLÁNTICO,MANATÍ,2025,19,2
ATLÁNTICO,PALMAR DE VARELA,2025,19,2
ATLÁNTICO,PIOJÓ,2025,31,4
ATLÁNTICO,POLONUEVO,2025,19,2
ATLÁNTICO,PONEDERA,2025,38,5
ATLÁNTICO,PUERTO COLOMBIA,2025,19,2
ATLÁNTICO,REPELÓN,2025,42,5
ATLÁNTICO,SABANAGRANDE,2025,15,2
ATLÁNTICO,SABANALARGA,2025,38,5
ATLÁNTICO,SANTA LUCÍA,2025,15,2
ATLÁNTICO,SANTO TOMÁS,2025,15,2
ATLÁNTICO,SOLEDAD,2025,15,2
ATLÁNTICO,SUAN,2025,11,1
ATLÁNTICO,TUBARÁ,2025,51,6
ATLÁNTICO,USIACURÍ,2025,15,2
BOGOTÁ D.C.,"BOGOTÁ, D.C.",2025,46,6
BOLÍVAR,ACHÍ,2025,25,3
BOLÍVAR,ALTOS DEL ROSARIO,2025,18,2
BOLÍVAR,ARENAL,2025,19,2
BOLÍVAR,ARJONA,2025,31,4
BOLÍVAR,ARROYOHONDO,2025,31,4
BOLÍVAR,BARRANCO DE LOBA,2025,18,2
BOLÍVAR,CALAMAR,2025,31,4
BOLÍVAR,CANTAGALLO,2025,19,2
BOLÍVAR,CARTAGENA,2025,168,21
BOLÍVAR,CICUCO,2025,27,3
BOLÍVAR,CLEMENCIA,2025,11,1
BOLÍVAR,CÓRDOBA,2025,28,4
BOLÍVAR,EL CARMEN DE BOLÍVAR,2025,70,9
BOLÍVAR,EL GUAMO,2025,25,3
BOLÍVAR,EL PEÑÓN,2025,25,3
BOLÍVAR,HATILLO DE LOBA,2025,19,2
BOLÍVAR,MAGANGUÉ,2025,68,8
BOLÍVAR,MAHATES,2025,50,6
BOLÍVAR,MARGARITA,2025,23,3
BOLÍVAR,MARÍA LA BAJA,2025,141,18
BOLÍVAR,MONTECRISTO,2025,11,1
BOLÍVAR,MORALES,2025,25,3
BOLÍVAR,NOROSÍ,2025,14,2
BOLÍVAR,PINILLOS,2025,15,2
BOLÍVAR,REGIDOR,2025,32,4
BOLÍVAR,RÍO VIEJO,2025,22,3
BOLÍVAR,SAN CRISTÓBAL,2025,19,2
BOLÍVAR,SAN ESTANISLAO,2025,19,2
BOLÍVAR,SAN FERNANDO,2025,35,4
BOLÍVAR,SAN JACINTO,2025,29,4
BOLÍVAR,SAN JACINTO DEL CAUCA,2025,22,3
BOLÍVAR,SAN JUAN NEPOMUCENO,2025,31,4
BOLÍVAR,SAN MARTÍN DE LOBA,2025,23,3
BOLÍVAR,SANTA CATALINA,2025,38,5
BOLÍVAR,SANTA CRUZ DE MOMPOX,2025,22,3
BOLÍVAR,SANTA ROSA,2025,17,2
BOLÍVAR,SANTA ROSA DEL SUR,2025,18,2
BOLÍVAR,SIMITÍ,2025,57,7
BOLÍVAR,SOPLAVIENTO,2025,15,2
BOLÍVAR,TALAIGUA NUEVO,2025,24,3
BOLÍVAR,TIQUISIO,2025,23,3
BOLÍVAR,TURBACO,2025,46,6
BOLÍVAR,TURBANÁ,2025,19,2
BOLÍVAR,ZAMBRANO,2025,15,2
BOYACÁ,ALMEIDA,2025,11,1
BOYACÁ,AQUITANIA,2025,38,5
BOYACÁ,ARCABUCO,2025,15,2
BOYACÁ,BERBEO,2025,11,1
BOYACÁ,BETÉITIVA,2025,15,2
BOYACÁ,BOAVITA,2025,11,1
BOYACÁ,BOYACÁ,2025,11,1
BOYACÁ,BUSBANZÁ,2025,11,1
BOYACÁ,CAMPOHERMOSO,2025,19,2
BOYACÁ,CERINZA,2025,15,2
BOYACÁ,CHINAVITA,2025,11,1
BOYACÁ,CHIQUINQUIRÁ,2025,16,2
BOYACÁ,CHISCAS,2025,15,2
BOYACÁ,CHITA,2025,16,2
BOYACÁ,CHITARAQUE,2025,11,1
BOYACÁ,CHIVATÁ,2025,15,2
BOYACÁ,CHIVOR,2025,11,1
BOYACÁ,CHÍQUIZA,2025,15,2
BOYACÁ,CIÉNEGA,2025,11,1
BOYACÁ,COPER,2025,11,1
BOYACÁ,CORRALES,2025,11,1
BOYACÁ,COVARACHÍA,2025,7,1
BOYACÁ,CUBARÁ,2025,19,2
BOYACÁ,CUCAITA,2025,11,1
BOYACÁ,CUÍTIVA,2025,15,2
BOYACÁ,CÓMBITA,2025,23,3
BOYACÁ,DUITAMA,2025,50,6
BOYACÁ,EL COCUY,2025,19,2
BOYACÁ,EL ESPINO,2025,11,1
BOYACÁ,FIRAVITOBA,2025,15,2
BOYACÁ,FLORESTA,2025,15,2
BOYACÁ,GACHANTIVÁ,2025,7,1
BOYACÁ,GAMEZA,2025,11,1
BOYACÁ,GARAGOA,2025,15,2
BOYACÁ,GUACAMAYAS,2025,11,1
BOYACÁ,GUATEQUE,2025,15,2
BOYACÁ,GUAYATÁ,2025,11,1
BOYACÁ,GÜICÁN,2025,11,1
BOYACÁ,IZA,2025,11,1
BOYACÁ,JENESANO,2025,15,2
BOYACÁ,JERICÓ,2025,17,2
BOYACÁ,LA CAPILLA,2025,11,1
BOYACÁ,LA UVITA,2025,15,2
BOYACÁ,LA VICTORIA,2025,8,1
BOYACÁ,LABRANZAGRANDE,2025,11,1
BOYACÁ,MACANAL,2025,15,2
BOYACÁ,MARIPÍ,2025,31,4
BOYACÁ,MIRAFLORES,2025,15,2
BOYACÁ,MONGUA,2025,11,1
BOYACÁ,MONGUÍ,2025,15,2
BOYACÁ,MONIQUIRÁ,2025,19,2
BOYACÁ,MOTAVITA,2025,11,1
BOYACÁ,MUZO,2025,19,2
BOYACÁ,NOBSA,2025,58,7
BOYACÁ,NUEVO COLÓN,2025,11,1
BOYACÁ,OICATÁ,2025,11,1
BOYACÁ,OTANCHE,2025,23,3
BOYACÁ,PACHAVITA,2025,7,1
BOYACÁ,PAIPA,2025,23,3
BOYACÁ,PAJARITO,2025,19,2
BOYACÁ,PANQUEBA,2025,11,1
BOYACÁ,PAUNA,2025,15,2
BOYACÁ,PAYA,2025,15,2
BOYACÁ,PAZ DE RÍO,2025,23,3
BOYACÁ,PESCA,2025,11,1
BOYACÁ,PISBA,2025,11,1
BOYACÁ,PUERTO BOYACÁ,2025,111,14
BOYACÁ,PÁEZ,2025,15,2
BOYACÁ,QUÍPAMA,2025,23,3
BOYACÁ,RAMIRIQUÍ,2025,28,4
BOYACÁ,RONDÓN,2025,15,2
BOYACÁ,RÁQUIRA,2025,23,3
BOYACÁ,SABOYÁ,2025,15,2
BOYACÁ,SAMACÁ,2025,23,3
BOYACÁ,SAN EDUARDO,2025,11,1
BOYACÁ,SAN JOSÉ DE PARE,2025,11,1
BOYACÁ,SAN LUIS DE GACENO,2025,31,4
BOYACÁ,SAN MATEO,2025,11,1
BOYACÁ,SAN MIGUEL DE SEMA,2025,11,1
BOYACÁ,SAN PABLO DE BORBUR,2025,19,2
BOYACÁ,SANTA ROSA DE VITERBO,2025,15,2
BOYACÁ,SANTA SOFÍA,2025,7,1
BOYACÁ,SANTANA,2025,19,2
BOYACÁ,SATIVANORTE,2025,15,2
BOYACÁ,SATIVASUR,2025,11,1
BOYACÁ,SIACHOQUE,2025,11,1
BOYACÁ,SOATÁ,2025,15,2
BOYACÁ,SOCHA,2025,23,3
BOYACÁ,SOCOTÁ,2025,15,2
BOYACÁ,SOGAMOSO,2025,33,4
BOYACÁ,SOMONDOCO,2025,12,2
BOYACÁ,SORA,2025,11,1
BOYACÁ,SORACÁ,2025,15,2
BOYACÁ,SOTAQUIRÁ,2025,19,2
BOYACÁ,SUSACÓN,2025,7,1
BOYACÁ,SUTAMARCHÁN,2025,15,2
BOYACÁ,SUTATENZA,2025,15,2
BOYACÁ,SÁCHICA,2025,11,1
BOYACÁ,TASCO,2025,23,3
BOYACÁ,TENZA,2025,15,2
BOYACÁ,TIBANÁ,2025,11,1
BOYACÁ,TIBASOSA,2025,23,3
BOYACÁ,TINJACÁ,2025,15,2
BOYACÁ,TIPACOQUE,2025,15,2
BOYACÁ,TOCA,2025,15,2
BOYACÁ,TOGÜÍ,2025,11,1
BOYACÁ,TOTA,2025,11,1
BOYACÁ,TUNJA,2025,15,2
BOYACÁ,TUNUNGUÁ,2025,11,1
BOYACÁ,TURMEQUÉ,2025,15,2
BOYACÁ,TUTA,2025,19,2
BOYACÁ,TUTAZÁ,2025,11,1
BOYACÁ,TÓPAGA,2025,15,2
BOYACÁ,UMBITA,2025,15,2
BOYACÁ,VENTAQUEMADA,2025,46,6
BOYACÁ,VILLA DE LEYVA,2025,22,3
BOYACÁ,VIRACACHÁ,2025,11,1
BOYACÁ,ZETAQUIRA,2025,11,1
CALDAS,AGUADAS,2025,50,6
CALDAS,ANSERMA,2025,16,2
CALDAS,ARANZAZU,2025,23,3
CALDAS,BELALCÁZAR,2025,31,4
CALDAS,CHINCHINÁ,2025,28,4
CALDAS,FILADELFIA,2025,38,5
CALDAS,LA DORADA,2025,33,4
CALDAS,LA MERCED,2025,29,4
CALDAS,MANIZALES,2025,101,13
CALDAS,MANZANARES,2025,23,3
CALDAS,MARMATO,2025,29,4
CALDAS,MARQUETALIA,2025,19,2
CALDAS,MARULANDA,2025,11,1
CALDAS,NEIRA,2025,27,3
CALDAS,NORCASIA,2025,23,3
CALDAS,PALESTINA,2025,25,3
CALDAS,PENSILVANIA,2025,35,4
CALDAS,PÁCORA,2025,42,5
CALDAS,RIOSUCIO,2025,32,4
CALDAS,RISARALDA,2025,19,2
CALDAS,SALAMINA,2025,25,3
CALDAS,SAMANÁ,2025,42,5
CALDAS,SAN JOSÉ,2025,15,2
CALDAS,SUPÍA,2025,19,2
CALDAS,VICTORIA,2025,35,4
CALDAS,VILLAMARÍA,2025,54,7
CALDAS,VITERBO,2025,15,2
CAQUETA,ALBANIA,2025,25,3
CAQUETA,BELÉN DE LOS ANDAQUÍES,2025,31,4
CAQUETA,CARTAGENA DEL CHAIRÁ,2025,59,7
CAQUETA,CURILLO,2025,23,3
CAQUETA,EL DONCELLO,2025,24,3
CAQUETA,EL PAUJIL,2025,16,2
CAQUETA,FLORENCIA,2025,26,3
