DEPARTAMENTO,MUNICIPIO,2025,2026,2027,2028
AMAZONAS,LETICIA,11,11,11,11
AMAZONAS,PUERTO NARIÑO,7,7,7,7
AMAZONAS,TARAPACÁ,0,0,0,0
ANTIOQUIA,ABEJORRAL,2,2,2,2
ANTIOQUIA,ABRIAQUÍ,1,1,1,1
ANTIOQUIA,ALEJANDRÍA,1,1,1,1
ANTIOQUIA,AMAGÁ,6,6,6,6
ANTIOQUIA,AMALFI,2,2,2,2
ANTIOQUIA,ANDES,5,5,5,5
ANTIOQUIA,ANGELÓPOLIS,3,3,3,3
ANTIOQUIA,ANGOSTURA,2,2,2,2
ANTIOQUIA,ANORÍ,1,1,1,1
ANTIOQUIA,ANZA,2,2,2,2
ANTIOQUIA,APARTADÓ,6,6,6,6
ANTIOQUIA,ARBOLETES,5,5,5,5
ANTIOQUIA,ARGELIA,2,2,2,2
ANTIOQUIA,BARBOSA,6,6,6,6
ANTIOQUIA,BELLO,5,5,5,5
ANTIOQUIA,BELMIRA,2,2,2,2
ANTIOQUIA,BETANIA,2,2,2,2
ANTIOQUIA,BRICEÑO,2,2,2,2
ANTIOQUIA,BURITICÁ,2,2,2,2
ANTIOQUIA,CAICEDO,1,1,1,1
ANTIOQUIA,CALDAS,6,6,6,6
ANTIOQUIA,CAMPAMENTO,2,2,2,2
ANTIOQUIA,CARACOLÍ,2,2,2,2
ANTIOQUIA,CARAMANTA,2,2,2,2
ANTIOQUIA,CAREPA,6,6,6,6
ANTIOQUIA,CAROLINA,2,2,2,2
ANTIOQUIA,CAUCASIA,6,6,6,6
ANTIOQUIA,CAÑASGORDAS,3,3,3,3
ANTIOQUIA,CHIGORODÓ,4,4,4,4
ANTIOQUIA,CISNEROS,2,2,2,2
ANTIOQUIA,CIUDAD BOLÍVAR,4,4,4,4
ANTIOQUIA,COCORNÁ,2,2,2,2
ANTIOQUIA,CONCEPCIÓN,1,1,1,1
ANTIOQUIA,COPACABANA,3,3,3,3
ANTIOQUIA,CÁCERES,8,8,8,8
ANTIOQUIA,DABEIBA,2,2,2,2
ANTIOQUIA,DONMATÍAS,4,4,4,4
ANTIOQUIA,EBÉJICO,2,2,2,2
ANTIOQUIA,EL BAGRE,3,3,3,3
ANTIOQUIA,EL CARMEN DE VIBORAL,2,2,2,2
ANTIOQUIA,EL SANTUARIO,2,2,2,2
ANTIOQUIA,ENTRERRIOS,2,2,2,2
ANTIOQUIA,ENVIGADO,11,11,11,11
ANTIOQUIA,FREDONIA,5,5,5,5
ANTIOQUIA,FRONTINO,3,3,3,3
ANTIOQUIA,GIRALDO,2,2,2,2
ANTIOQUIA,GIRARDOTA,8,8,8,8
ANTIOQUIA,GUADALUPE,1,1,1,1
ANTIOQUIA,GUARNE,3,3,3,3
ANTIOQUIA,GUATAPE,2,2,2,2
ANTIOQUIA,GÓMEZ PLATA,3,3,3,3
ANTIOQUIA,HELICONIA,2,2,2,2
ANTIOQUIA,HISPANIA,2,2,2,2
ANTIOQUIA,ITAGUI,4,4,4,4
ANTIOQUIA,ITUANGO,4,4,4,4
ANTIOQUIA,JARDÍN,3,3,3,3
ANTIOQUIA,LA CEJA,4,4,4,4
ANTIOQUIA,LA ESTRELLA,5,5,5,5
ANTIOQUIA,LA PINTADA,2,2,2,2
ANTIOQUIA,LIBORINA,5,5,5,5
ANTIOQUIA,MACEO,2,2,2,2
ANTIOQUIA,MARINILLA,2,2,2,2
ANTIOQUIA,MEDELLÍN,14,14,14,14
ANTIOQUIA,MONTEBELLO,2,2,2,2
ANTIOQUIA,MURINDÓ,2,2,2,2
ANTIOQUIA,MUTATÁ,2,2,2,2
ANTIOQUIA,NARIÑO,2,2,2,2
ANTIOQUIA,NECHÍ,4,4,4,4
ANTIOQUIA,NECOCLÍ,7,7,7,7
ANTIOQUIA,OLAYA,3,3,3,3
ANTIOQUIA,PEQUE,1,1,1,1
ANTIOQUIA,PEÑOL,2,2,2,2
ANTIOQUIA,PUEBLORRICO,1,1,1,1
ANTIOQUIA,PUERTO BERRÍO,6,6,6,6
ANTIOQUIA,PUERTO NARE,6,6,6,6
ANTIOQUIA,PUERTO TRIUNFO,4,4,4,4
ANTIOQUIA,REMEDIOS,3,3,3,3
ANTIOQUIA,RETIRO,3,3,3,3
ANTIOQUIA,RIONEGRO,10,10,10,10
ANTIOQUIA,SABANETA,6,6,6,6
ANTIOQUIA,SALGAR,3,3,3,3
ANTIOQUIA,SAN ANDRÉS DE CUERQUÍA,1,1,1,1
ANTIOQUIA,SAN JERÓNIMO,2,2,2,2
ANTIOQUIA,SAN JOSÉ DE LA MONTAÑA,1,1,1,1
ANTIOQUIA,SAN JUAN DE URABÁ,4,4,4,4
ANTIOQUIA,SAN PEDRO DE LOS MILAGROS,2,2,2,2
ANTIOQUIA,SAN PEDRO DE URABA,3,3,3,3
ANTIOQUIA,SAN RAFAEL,2,2,2,2
ANTIOQUIA,SAN ROQUE,3,3,3,3
ANTIOQUIA,SAN VICENTE FERRER,3,3,3,3
ANTIOQUIA,SANTA ROSA DE OSOS,4,4,4,4
ANTIOQUIA,SANTAFÉ DE ANTIOQUIA,5,5,5,5
ANTIOQUIA,SANTO DOMINGO,4,4,4,4
ANTIOQUIA,SEGOVIA,2,2,2,2
ANTIOQUIA,SONSON,3,3,3,3
ANTIOQUIA,SOPETRÁN,3,3,3,3
ANTIOQUIA,TARAZÁ,4,4,4,4
ANTIOQUIA,TARSO,3,3,3,3
ANTIOQUIA,TITIRIBÍ,4,4,4,4
ANTIOQUIA,TOLEDO,2,2,2,2
ANTIOQUIA,TURBO,12,12,12,12
ANTIOQUIA,TÁMESIS,2,2,2,2
ANTIOQUIA,URAMITA,1,1,1,1
ANTIOQUIA,URRAO,1,1,1,1
ANTIOQUIA,VALDIVIA,4,4,4,4
ANTIOQUIA,VEGACHÍ,2,2,2,2
ANTIOQUIA,VENECIA,3,3,3,3
ANTIOQUIA,VIGÍA DEL FUERTE,2,2,2,2
ANTIOQUIA,YALÍ,2,2,2,2
ANTIOQUIA,YARUMAL,6,6,6,6
ANTIOQUIA,YOLOMBÓ,2,2,2,2
ANTIOQUIA,YONDÓ,6,6,6,6
ANTIOQUIA,ZARAGOZA,4,4,4,4
ARAUCA,ARAUCA,3,3,3,3
ARAUCA,ARAUQUITA,5,5,5,5
ARAUCA,CRAVO NORTE,1,1,1,1
ARAUCA,FORTUL,3,3,3,3
ARAUCA,PUERTO RONDÓN,2,2,2,2
ARAUCA,SARAVENA,3,3,3,3
ARAUCA,TAME,4,4,4,4
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",SAN ANDRÉS,4,4,4,4
ATLÁNTICO,BARANOA,5,5,5,5
ATLÁNTICO,BARRANQUILLA,2,2,2,2
ATLÁNTICO,CAMPO DE LA CRUZ,2,2,2,2
ATLÁNTICO,GALAPA,2,2,2,2
ATLÁNTICO,JUAN DE ACOSTA,5,5,5,5
ATLÁNTICO,LURUACO,6,6,6,6
ATLÁNTICO,MALAMBO,4,4,4,4
ATLÁNTICO,MANATÍ,2,2,2,2
ATLÁNTICO,PALMAR DE VARELA,2,2,2,2
ATLÁNTICO,PIOJÓ,4,4,4,4
ATLÁNTICO,POLONUEVO,2,2,2,2
ATLÁNTICO,PONEDERA,5,5,5,5
ATLÁNTICO,PUERTO COLOMBIA,2,2,2,2
ATLÁNTICO,REPELÓN,5,5,5,5
ATLÁNTICO,SABANAGRANDE,2,2,2,2
ATLÁNTICO,SABANALARGA,5,5,5,5
ATLÁNTICO,SANTA LUCÍA,2,2,2,2
ATLÁNTICO,SANTO TOMÁS,2,2,2,2
ATLÁNTICO,SOLEDAD,2,2,2,2
ATLÁNTICO,SUAN,1,1,1,1
ATLÁNTICO,TUBARÁ,6,6,6,6
ATLÁNTICO,USIACURÍ,2,2,2,2
BOGOTÁ D.C.,"BOGOTÁ, D.C.",6,6,6,6
BOLÍVAR,ACHÍ,3,3,3,3
BOLÍVAR,ALTOS DEL ROSARIO,2,2,2,2
BOLÍVAR,ARENAL,2,2,2,2
BOLÍVAR,ARJONA,4,4,4,4
BOLÍVAR,ARROYOHONDO,4,4,4,4
BOLÍVAR,BARRANCO DE LOBA,2,2,2,2
BOLÍVAR,CALAMAR,4,4,4,4
BOLÍVAR,CANTAGALLO,2,2,2,2
BOLÍVAR,CARTAGENA,21,21,21,21
BOLÍVAR,CICUCO,3,3,3,3
BOLÍVAR,CLEMENCIA,1,1,1,1
BOLÍVAR,CÓRDOBA,4,4,4,4
BOLÍVAR,EL CARMEN DE BOLÍVAR,9,9,9,9
BOLÍVAR,EL GUAMO,3,3,3,3
BOLÍVAR,EL PEÑÓN,3,3,3,3
BOLÍVAR,HATILLO DE LOBA,2,2,2,2
BOLÍVAR,MAGANGUÉ,8,8,8,8
BOLÍVAR,MAHATES,6,6,6,6
BOLÍVAR,MARGARITA,3,3,3,3
BOLÍVAR,MARÍA LA BAJA,18,18,18,18
BOLÍVAR,MONTECRISTO,1,1,1,1
BOLÍVAR,MORALES,3,3,3,3
BOLÍVAR,NOROSÍ,2,2,2,2
BOLÍVAR,PINILLOS,2,2,2,2
BOLÍVAR,REGIDOR,4,4,4,4
BOLÍVAR,RÍO VIEJO,3,3,3,3
BOLÍVAR,SAN CRISTÓBAL,2,2,2,2
BOLÍVAR,SAN ESTANISLAO,2,2,2,2
BOLÍVAR,SAN FERNANDO,4,4,4,4
BOLÍVAR,SAN JACINTO,4,4,4,4
BOLÍVAR,SAN JACINTO DEL CAUCA,3,3,3,3
BOLÍVAR,SAN JUAN NEPOMUCENO,4,4,4,4
BOLÍVAR,SAN MARTÍN DE LOBA,3,3,3,3
BOLÍVAR,SANTA CATALINA,5,5,5,5
